iter,time,f(xk),||Df(xk)||
1,0.548757,3.204080e+04,8163.94359608
2,0.000111,2.675549e+03,1392.40587049
3,0.000099,3.298969e+02,261.76081912
4,0.000099,2.472228e+02,369.84612350
5,0.000089,2.245932e+02,370.72903681
6,0.000083,1.800402e+02,160.43139496
7,0.000087,1.477934e+02,113.70404191
8,0.000098,1.464531e+02,84.79616086
9,0.000090,1.304935e+02,45.48661689
10,0.008961,1.265922e+02,27.58153059
11,0.000129,1.262369e+02,28.92172207
12,0.000101,1.249365e+02,8.13402134
13,0.000082,1.248256e+02,3.30805482
14,0.000126,1.247948e+02,4.47201866
15,0.000088,1.247554e+02,2.75358942
16,0.000115,1.247275e+02,7.24337009
17,0.000089,1.246590e+02,4.10524614
18,0.000115,1.246265e+02,2.93057928
19,0.000095,1.245960e+02,4.37938491
20,0.000115,1.245631e+02,3.21031731
21,0.000103,1.245427e+02,5.47114504
22,0.000097,1.245046e+02,4.03341900
23,0.005004,1.244760e+02,3.25953546
24,0.000082,1.244601e+02,5.98842702
25,0.000076,1.244238e+02,4.81031740
26,0.000077,1.243944e+02,4.06171555
27,0.000081,1.243682e+02,3.57931963
28,0.000076,1.243438e+02,3.27107486
29,0.000078,1.243345e+02,6.68834575
30,0.000082,1.243061e+02,6.20708470
31,0.000086,1.242800e+02,5.90258562
32,0.000083,1.242560e+02,5.74817541
33,0.000090,1.242334e+02,5.72344886
34,0.000134,1.242122e+02,5.82370948
35,0.001236,1.241925e+02,6.05634306
36,0.000088,1.241747e+02,6.43653120
37,0.000085,1.241592e+02,7.00076837
38,0.000085,1.241478e+02,7.78922917
39,0.000086,1.241417e+02,8.88353416
40,0.000079,1.240652e+02,2.50558307
41,0.000099,1.240362e+02,13.75184586
42,0.000104,1.238830e+02,3.71969185
43,0.000090,1.238667e+02,4.67505617
44,0.000091,1.238584e+02,6.29517257
45,0.000092,1.238217e+02,2.75224894
46,0.000097,1.237982e+02,5.93936359
47,0.001265,1.237658e+02,2.80182894
48,0.000092,1.237465e+02,6.48145665
49,0.000086,1.237104e+02,3.00472935
50,0.000091,1.237074e+02,8.13553054
51,0.000082,1.236568e+02,3.53600014
52,0.000081,1.236434e+02,5.01149025
53,0.000077,1.236199e+02,2.86469010
54,0.000081,1.236082e+02,7.44936766
55,0.000081,1.235672e+02,3.64317081
56,0.000083,1.235564e+02,5.49140803
57,0.000086,1.235310e+02,3.13859252
58,0.000085,1.235151e+02,4.42919715
59,0.001041,1.234961e+02,2.88609366
60,0.000082,1.234889e+02,8.05849347
61,0.000081,1.234465e+02,4.29295665
62,0.000080,1.234287e+02,2.92832240
63,0.000077,1.234268e+02,8.66590982
64,0.000078,1.233819e+02,4.83118277
65,0.000076,1.233622e+02,3.21507051
66,0.000079,1.233488e+02,4.97884480
67,0.000078,1.233288e+02,3.33249908
68,0.000082,1.233174e+02,5.37277931
69,0.000083,1.232959e+02,3.56903593
70,0.000080,1.232885e+02,6.09119314
71,0.001208,1.232640e+02,3.98803342
72,0.000121,1.232485e+02,3.02278892
73,0.000105,1.232335e+02,4.64935565
74,0.000092,1.232159e+02,3.37480614
75,0.000096,1.232065e+02,5.76505231
76,0.000094,1.231849e+02,4.01767093
77,0.000094,1.231697e+02,3.12703717
78,0.000125,1.231569e+02,5.12280515
79,0.000097,1.231384e+02,3.76362454
80,0.000101,1.231371e+02,7.08853018
81,0.000097,1.231109e+02,5.00934438
82,0.000093,1.230933e+02,3.78627163
83,0.000119,1.230932e+02,7.29128201
84,0.001340,1.230673e+02,5.28900127
85,0.000106,1.230492e+02,4.04635759
86,0.000095,1.230348e+02,3.30673880
87,0.000089,1.230263e+02,5.98519084
88,0.000082,1.230067e+02,4.60221600
89,0.000082,1.229911e+02,3.71747115
90,0.000082,1.229777e+02,3.17089000
91,0.000084,1.229673e+02,5.65410254
92,0.000083,1.229495e+02,4.51674551
93,0.000082,1.229346e+02,3.75300794
94,0.000082,1.229214e+02,3.25248678
95,0.000081,1.229131e+02,6.05548786
96,0.001021,1.228950e+02,4.94721258
97,0.000082,1.228797e+02,4.15697821
98,0.000081,1.228660e+02,3.60096198
99,0.000079,1.228658e+02,7.37211704
100,0.000078,1.228453e+02,6.12477048
101,0.000078,1.228283e+02,5.18016431
102,0.000078,1.228132e+02,4.46693716
103,0.000082,1.227995e+02,3.93306367
104,0.000078,1.227865e+02,3.53570655
105,0.000078,1.227859e+02,7.35940099
106,0.000080,1.227675e+02,6.38487138
107,0.000079,1.227513e+02,5.60760364
108,0.001112,1.227364e+02,4.98621289
109,0.000115,1.227226e+02,4.49119093
110,0.000096,1.227095e+02,4.09630701
111,0.000093,1.226969e+02,3.78227911
112,0.000094,1.226846e+02,3.53225217
113,0.000097,1.226725e+02,3.33355122
114,0.000093,1.226686e+02,6.90131263
115,0.000098,1.226535e+02,6.35576535
116,0.000092,1.226393e+02,5.89622232
117,0.000091,1.226257e+02,5.51049582
118,0.000121,1.226126e+02,5.18562042
119,0.000112,1.225999e+02,4.91301244
120,0.001362,1.225874e+02,4.68386398
121,0.000097,1.225752e+02,4.49223474
122,0.000098,1.225631e+02,4.33216171
123,0.000120,1.225512e+02,4.19958034
124,0.000101,1.225394e+02,4.09049928
125,0.000099,1.225277e+02,4.00219872
126,0.000105,1.225161e+02,3.93208755
127,0.000097,1.225045e+02,3.87843122
128,0.000118,1.224930e+02,3.83967021
129,0.000085,1.224816e+02,3.81481977
130,0.000084,1.224702e+02,3.80312619
131,0.000084,1.224588e+02,3.80421295
132,0.001043,1.224475e+02,3.81801411
133,0.000079,1.224363e+02,3.84469455
134,0.000081,1.224251e+02,3.88484636
135,0.000080,1.224139e+02,3.93917213
136,0.000078,1.224028e+02,4.00897220
137,0.000080,1.223918e+02,4.09553987
138,0.000085,1.223809e+02,4.20101578
139,0.000080,1.223700e+02,4.32739162
140,0.000078,1.223593e+02,4.47787465
141,0.000079,1.223487e+02,4.65531963
142,0.000080,1.223383e+02,4.86434942
143,0.000082,1.223281e+02,5.10891193
144,0.001028,1.223182e+02,5.39557121
145,0.000090,1.223086e+02,5.72968191
146,0.000089,1.222994e+02,6.12054868
147,0.000094,1.222908e+02,6.57535958
148,0.000113,1.222828e+02,7.10740038
149,0.000098,1.222757e+02,7.72626815
150,0.000099,1.222698e+02,8.45118841
151,0.000094,1.222654e+02,9.29491087
152,0.000095,1.222629e+02,10.28573184
153,0.000086,1.222113e+02,2.48371034
154,0.000095,1.221627e+02,9.96599735
155,0.000094,1.221151e+02,2.54170200
156,0.001323,1.221019e+02,13.46316370
157,0.000094,1.220193e+02,2.77938694
158,0.000142,1.220051e+02,5.22536399
159,0.000098,1.219983e+02,6.13087536
160,0.000098,1.219938e+02,7.30293346
161,0.000103,1.219931e+02,8.79519065
162,0.000117,1.219564e+02,2.59688031
163,0.000103,1.219363e+02,8.06257365
164,0.000098,1.219053e+02,2.59639643
165,0.000106,1.218855e+02,8.13810520
166,0.000097,1.218543e+02,2.63183037
167,0.000109,1.218400e+02,8.93158713
168,0.001103,1.218034e+02,2.71975286
169,0.000087,1.218028e+02,10.63769734
170,0.000079,1.217528e+02,2.90416581
171,0.000080,1.217436e+02,6.37128401
172,0.000082,1.217434e+02,8.20144233
173,0.000078,1.217127e+02,2.74225868
174,0.000080,1.216989e+02,5.37632125
175,0.000082,1.216953e+02,6.89301651
176,0.000078,1.216728e+02,2.65650774
177,0.000081,1.216635e+02,9.71140702
178,0.000079,1.216224e+02,2.95853712
179,0.000088,1.216155e+02,6.86062466
180,0.000964,1.215934e+02,2.69697151
181,0.000085,1.215911e+02,10.62031333
182,0.000110,1.215435e+02,3.15863595
183,0.000084,1.215337e+02,3.73933134
